"LogicalRef","Name","Address","Phone","Website","Email","InCharge","City","District","Personnel","PartnerType"
"102627","LEVENT GÜMÜŞÇÜ-SİLVER COMPUTER CENTER","IŞIKTEPE MAH. FIRTINALI SOKAK NO:14 TUZCU PLAZA KAT: 3 D:6","02242569120","www.secretbilgisayar.com","ilhan@secretbilgisayar.com","İLHAN ÇİMEN","BURSA","NİLÜFER","4","Kobi"
"103556","SOFTCOM BİLGİSAYAR VE YAZILIM HİZMETLERİ SAN.TİC.LTD.ŞTİ.","MEDYA MAH.MAHABAD BULVARI 629/1 ÖNYA PARK PLAZA KAT:11 NO:51 KAYAPINAR DİYARBAKIR","04122243736","www.okansoybilgisayar.com","muharrem@okansoybilgisayar.com","MUHARREM OKANSOY","DİYARBAKIR","KAYAPINAR","4","Kobi"
"104573","RIZA ÖZEL","ALİ PAŞA MH. UZUNZEYBEK SK. 9/A","02742233444","www.silvercomputer.com","levent@silvercomputer.com","LEVENT GÜMÜŞCÜ","KÜTAHYA","MERKEZ","2","Kobi"
"10671","ARTI BİLGİSAYAR YAZILIM EĞİTİM VE DAN. - SEVGİ SOYLU","TAHILPAZARI MAH. ADNAN MENDERES BULV. 468 SK.\\nNO:8 K:5/501 PERGE APT. NO:9/4 MURATPAŞA PERGE APT. NO:9/4 MURATPAŞA","05322646292","www.anka-bilisim.com","ercan@anka-bilisim.com","ERCAN IRMAK","ANTALYA","MURATPAŞA","1","Bulut İş Ortağı, Kobi"
"10672","ARTI BİLİŞİM TEKNOLOJİLERİ BİLGİSAYAR ELEK.OTOMAS.SİS.DIŞ.TİC.PAZ.LTD.ŞTİ.","ATATÜRK BULVARI NO:105/903 KIZILAY","03124256849","www.arti-b.com/","ssoylu@arti-b.com","SEVGİ SOYLU","ANKARA","ÇANKAYA","3","Kobi"
"10814","NACİYE AYIK-ARYA BİLGİSAYAR","Yeniyol Mah Eskisaray1 Sk Nalıncı İş Mrkz No:2/31","03642252770","www.artiteknoloji.com.tr","serkan@artiteknoloji.com.tr","SERKAN ŞENAY","ÇORUM","MERKEZ","4","Kobi"
"109200","TEKNOCENTER BİLGİSAYAR YAZILIM DONANIM DANIŞMANLIK-YUSUF DOĞAN","CEVATPAŞA MAH. İNÖNÜ CAD. NO: 63/1 \\nKİRİŞÇİOĞLU-1 APT. ZEMİN KAT","02862121325","www.sahbilgisayar.com","hakanozay@hotmail.com","HAKAN ÖZAY","ÇANAKKALE","MERKEZ","3","Kobi"
"110155","TEOMET KURUMSAL BİLG. ELEK. YAZ. İLETİŞİM VE GÜV. SİST. SAN. TİC. LTD. ŞTİ.","ATATÜRK BULVARI NO:209-1 BİLGİN APT. K:4 D:8","02222240402","www.sbi.com.tr","nesrinc@sbi.com.tr","NESRİN ÇELİK","ESKİŞEHİR","ODUNPAZARI","2","Kobi"
"11185","ASCOM BİLİŞİM BİLGİSAYAR LTD. ŞTİ.","HUNAT MAHALLESI YENISU SOKAK DÜNYA İŞ MERKEZI B BLOK KAT:1 NO:3","03522226888","www.asbilgisayar.net","info@asbilgisayar.net","SELİM TİRAK","KAYSERİ","MELİKGAZİ","4","Kobi"
"113733","TUĞRUL BAŞARAN","ALTINKUM MAH. 447.SOKAK  ORHAN ASAL 3 APART. NO :1-7","02422436259","","info@teknocenter.com","YUSUF DOĞAN","ANTALYA","KONYAALTI","5","Kobi"
"114261","UĞUR BİLGİSAYAR - TURAN EKŞİ","Zübeyde Hanım Mahallesi 659. Cadde No:11/C Altındağ - ANKARA","08504508090","www.turkerlerbilgisayar.com","turkerler@turkerlerbilgisayar.com","TUĞRUL BAŞARAN","ANKARA","ALTINDAĞ","5","Çözüm Geliştirme, Kobi, Objects Çözüm Geliştirme"
"115790","UZAY ELEKTRONİK BİLGİ İŞLEM SAN VE TİC. LTD. ŞTİ","KARŞIYAKA MH. 820. SOKAK NO 67/F DAİRE : 28","04622230626","","","","TRABZON","MERKEZ","2","Kobi"
"117233","MY BİLİŞİM OTOMASYON DANIŞMANLIK HİZMETLERİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ","ULUKAVAK MH. ÇEVREYOLU BULVARI NO:52 BLOK","03646660266","www.teomet.com.tr","iskender@teomet.com.tr","İSKENDER ALKAN","ÇORUM","MERKEZ","5","Kobi, Kurumsal"
"117869","RVİZYON TEKNOLOJİ BİLİŞİM YAZILIM KIRTASİYE DANIŞMANLIK SAN. VE TİC. LTD. ŞTİ.","YENİ MAH. 100.YIL BULV. CANİK APRT.  NO: NO:7 D:NO:9 KAT:1","03622020202","www.mybilisim.com.tr","finans@mybilisim.com.tr","MEHMET YAZICI","SAMSUN","CANİK","12","Kurumsal"
"118546","MESUT YALDIZ-YALDIZ BİLGİSAYAR","VARLIK MAH. YÜZÜCÜ SOKAK NO:46/1","08504201626","www.rvizyon.com","ahmet@rvizyon.com","AHMET BAL","ANKARA","*","22","Bulut Çözüm Geliştirme, Çözüm Geliştirme, Kurumsal, Objects Çözüm Geliştirme"
"119599","DMS BİLGİSAYAR YAZILIM VE İLETİŞİM SİST. SAN. VE TİC. LTD. ŞTİ.","H. HALİL MAH. A.RIZA EFENDİ CAD. 1231 SOK.  NO: 22 D: 3","02626421650","www.yaldiz.biz","mesutyaldiz@yahoo.com","MESUT YALDIZ","KOCAELİ","GEBZE","5","Kurumsal"
"120484","YILBA BİLGİ İŞLEM HİZ. A.Ş.","MENEKŞE 2 SOK. NO:31/9 KIZILAY","03124198153","www.yfbilgisayar.com","muhasebe@yfbilgisayar.com.tr","YUSUF KORKMAZ","ANKARA","ÇANKAYA","11","Kurumsal"
"12145","İSMAİL HAKKI AKAN-ATA BİLGİSAYAR","YAĞCILAR MAH. 1422 NOLU SOKAK 12/10 B LOK NO:6","05377882292","www.kartepebilisim.com","info@kartepebilisim.com","İSMAİL KARTEPE","SAKARYA","ADAPAZARI","1","Kobi"
"123264","ZİRVE BİLİŞİM BİLGİSAYAR MÜH. LTD. ŞTİ.","YILDIRIM BEYAZIT MAH.AŞIK VEYSEL BULVARI ERCİYES ÜNİVERSİTESİ TEKNOPARK BÖLGESİ 1.BİNA NO:61/17  MELİKGAZİ / KAYSERİ","03522212510","www.zirvebilisim.com.tr","netup@netup.com.tr","YAKUP ÖZER","KAYSERİ","MELİKGAZİ","9","Kurumsal"
"1247115","BRNSOFT BİLİŞİM SİSTEMLERİ ANONİM ŞİRKETİ","GÖKKUŞAĞI MAH. 1198 SK. BAHAR APT NO: 3 İÇ KAPI NO: 4","03123548103","www.brnsoft.net","info@ekseyazilim.com","BARAN ERDOĞAN","ANKARA","ÇANKAYA","1","Kobi"
"1247998","DECE GLOBAL YAZILIM BİLİŞİM MÜHENDİSLİK GIDA PAZARLAMA TİCARET İTHALAT İHRACAT ANONİM ŞİRKETİ","46.SOKAK, KANZA 1.KISIM, 1/A-C","05536185081","www.artukludanismanlik.com.tr","info@artukludanismanlik.com.tr","GÖKHAN ÇAHAN","MARDİN","*","2","Kobi"
"1248120","ORUÇ YAZILIM VE DONANIM TİCARET LİMİTED ŞİRKETİ","YENİGÜN MAH. 1072. SOK. ÇINAR SİT. A/BLOK NO :5A/1\\n\\nMURATPAŞA /ANTALYA","05057234007","www.marokiyazilim.com","gokcen@marokiyazilim.com","GÖKÇEN YILDIRIM","ANTALYA","MURATPAŞA","3","Kurumsal"
"1250145","ES BİLGİSAYAR BİLİŞİM YAZILIM GÜVENLİK SİSTEMLERİ TİCARET LİMİTED ŞİRKETİ","HOCA AHMET YESEVİ MAH. KAMAN 1. SK. NO: 11 D","05061804138","www.kozbt.com.tr","info@kozbt.com.tr","KADİR ÖZMOLULU","KAYSERİ","KOCASİNAN","3","Kurumsal"
"1250461","ES BİLGİSAYAR BİLİŞİM YAZILIM GÜVENLİK SİSTEMLERİ TİCARET LİMİTED ŞİRKETİ","YENİYOL MAHALLESİ KULAKSIZ SOKAK NO:26/C","05078286995","www.esenbilisim.com.tr","ali@esenbilisim.com.tr","ALİ İSMAİL ESEN","ÇORUM","MERKEZ","1","Kobi"
"1251835","MEHMET VAHDEDDİN EREN-EFENDİ YAZILIM","İŞ ORTAKLARI FORMU :ORUÇ YAZILIM VE DONANIM TİCARET LİMİTED ŞİRKETİ","05307110394","www.orucyazilim.com","info@orucyazilim.com","ABDÜLHAKİM ORUÇ","AFYONKARAHİSAR","MERKEZ","3","Kobi"
"1252499","FORMTEK YAZILIM LİMİTED ŞİRKETİ","SARIKÖPRÜ MAHALLESI ÖMER HALISDEMIR KÜME EVLER TEKNOPARK SITESI 31 / B-35","05325450088","www.snrteknoloji.com.tr","info@snrteknoloji.com.tr","SÜLEYMAN ŞENER","NİĞDE","MERKEZ","2","Kurumsal"
"1253607","TİNDA LLC","AZERBAİJAN, BAKU, NOBEL AVENUE 15","02242060816","https://formtekyazilim.com","gokhan.ozturk@formtekyazilim.com","GÖKHAN ÖZTÜRK","BURSA","NİLÜFER","2","Çözüm Geliştirme, Objects Çözüm Geliştirme"
