"ID","Name","ContactPerson","City","District","Website","Certified"
"270","2M MEDYA","","Yozgat","","",""
"271","COMPUTER WEB TR BİLGİSAYAR BİLİŞİM TEKNOLOJİLERİ","Mecit Sandıkçı","Trabzon","Ortahisar","",""
"98","DİGİTOLİA DİJİTAL ANADOLU TEKN.SAN. VE TİC.LTD.ŞTİ","Salih Mazlum","Erzincan","","",""
"102","DONBAY YAZILIM","Onur Donbay","Samsun","İlkadım","",""
"103","DÖRTYILDIZ BİLGİSAYAR","Fatih Şahinoğlu","Karabük","","",""
"113","EMİN BİLGİSAYAR","Abdülhalik Boz","Kastamonu","","",""
"119","ERKO BİLGİSAYAR","Erhan Koyuncu","Amasya","Gümüşhaciköy","",""
"132","FEREC BİLGİSAYAR","Salman Baybure","Iğdır","","",""
"154","KARADENİZ BARKOD","Turgay Rüzgar","Ordu","","",""
"291","MAKSİMUM DONANIM YAZILIM","İlhan Çoban","Isparta","","",""
"227","SRV YAZILIM DANIŞMANLIK VE BİLİŞİM SİSİSTEMLERİ","Gürol Gürsoy","Yalova","","",""
"235","TEKNOLOJİ MARKET","Sabri Kurt - Salih Kurt","Batman","","",""
"236","TEKNOMAR SANAL MAĞAZACILIK","Fatih Murat Yılmaz","Elazığ","Alacakaya","",""
